Company Name,Fiscal Period,Currency,Total Assets_Current,Total Assets_Previous,Total Liabilities_Current,Total Liabilities_Previous,Current Assets_Current,Current Assets_Previous,Current Liabilities_Current,Current Liabilities_Previous,Stockholders' Equity_Current,Stockholders' Equity_Previous,Stockholders' Equity - Parent_Current,Stockholders' Equity - Parent_Previous,Retained Earnings/(Deficit)_Current,Retained Earnings/(Deficit)_Previous,Gross Revenue_Current,Gross Revenue_Previous,Gross Expense_Current,Gross Expense_Previous,Income/(Loss) Before Tax_Current,Income/(Loss) Before Tax_Previous,Net Income/(Loss) After Tax_Current,Net Income/(Loss) After Tax_Previous,Net Income/(Loss) Attributable to Parent_Current,Net Income/(Loss) Attributable to Parent_Previous,Earnings/(Loss) Per Share (Basic)_Current,Earnings/(Loss) Per Share (Basic)_Previous,Earnings/(Loss) Per Share (Diluted)_Current,Earnings/(Loss) Per Share (Diluted)_Previous,Book Value Per Share_Current,Book Value Per Share_Previous,Current_Ratio_Current,Current_Ratio_Previous,Quick_Ratio_Current,Quick_Ratio_Previous,Debt_to_Equity_Current,Debt_to_Equity_Previous,Debt_Ratio_Current,Debt_Ratio_Previous,Equity_Ratio_Current,Equity_Ratio_Previous,Net_Profit_Margin_Current,Net_Profit_Margin_Previous,ROA_Current,ROA_Previous,ROE_Current,ROE_Previous,Asset_Turnover_Current,Asset_Turnover_Previous,Revenue_Growth,Net_Income_Growth,EPS_Growth,Book_Value_Growth
A. SORIANO CORPORATION,"Jun 30, 2025",PHP,32098576.0,32309106.0,3561798.0,4370453.0,23823217.0,23823217.0,2721553.0,2721553.0,28536778.0,27938653.0,27594816.0,27068917.0,25680622.0,25107370.0,12506235.0,13505458.0,9442497.0,8676804.0,2923721.0,5096859.0,2834276.0,4678999.0,2732545.0,4571028.0,1.26,2.8,1.26,2.8,22.48,22.05,8.753537777879027,8.753537777879027,8.753537777879027,8.753537777879027,0.12481430103987212,0.15643034043194567,0.11096436178352585,0.13527000716144855,0.8890356382164741,0.8647299928385515,0.22662903743612686,0.3464524490765141,0.08512978893518516,0.14147800932653476,0.09902385288599135,0.1688663052164222,0.38961962050902194,0.41800779012579303,-0.07398660600773406,-0.3942559081547143,-0.5499999999999999,0.01950113378684806
"ABACORE CAPITAL HOLDINGS, INC.","Jun 30, 2025",PHP,26253960539.0,26626080811.0,4465099408.0,4768900102.0,684939635.0,684939635.0,1525237968.0,1525237968.0,21788861131.0,21857180709.0,6260581088.0,6287393923.0,16273780668.0,16536896406.0,148195161.0,254212889.0,94141043.0,99263701.0,54054118.0,154949188.0,54054118.0,154949188.0,60202439.0,166138690.0,0.02,0.02,0.0,0.0,5.04,5.01,0.449070669213763,0.449070669213763,0.449070669213763,0.449070669213763,0.20492578208446613,0.2181845941382705,0.17007336479260488,0.1791063482399494,0.8299266352073952,0.8208936517600506,0.36474954806385346,0.6095253022359539,0.00229308027299614,0.006239697504837562,0.009616110414318141,0.026424094312310516,0.00564467828691437,0.009547514363998224,-0.41704308706392934,-0.6511493948583971,0.0,0.005988023952095858
"ABOITIZ EQUITY VENTURES, INC.","Jun 30, 2025",PHP,942187856.0,893700554.0,554018599.0,497334978.0,212499004.0,212499004.0,205962093.0,132646108.0,388169257.0,396365576.0,282155710.0,283282235.0,237371674.0,237536030.0,215056013.0,229736776.0,187277496.0,194400302.0,31482998.0,41238829.0,25694445.0,33209897.0,13612030.0,18064173.0,1.51,2.05,1.51,2.05,50.81,51.01,1.0317384180010252,1.6019995400091196,1.0317384180010252,1.6019995400091196,1.4272603742032048,1.2547380703918647,0.588012884555795,0.5564895039776376,0.411987115444205,0.4435104960223623,0.11947791945719742,0.14455629428698868,0.014447256896081243,0.020212780353720133,0.04824297193914665,0.06376740496981746,0.22825173518262795,0.2570623627475115,-0.06390253774606813,-0.22630157509973609,-0.2634146341463414,-0.003920799843167923
ABOITIZ POWER CORPORATION,"Jun 30, 2025",PHP,559928435.0,517616067.0,354757382.0,301719385.0,123026353.0,123026353.0,140010737.0,78985995.0,205171053.0,215896682.0,196020081.0,203232025.0,180455604.0,184722755.0,139390289.0,155336641.0,117733425.0,125087652.0,27197086.0,35591202.0,22888638.0,29129193.0,20716602.0,26391901.0,1.76,2.38,1.76,2.38,27.0,28.0,0.8786922748646055,1.5575717315455733,0.8786922748646055,1.5575717315455733,1.7290810609623377,1.3975174708798905,0.6335762926560428,0.5829018924174932,0.3664237073439573,0.4170981075825067,0.16420539884238278,0.18752300044906983,0.03699866037344576,0.050987406849563655,0.10568612100512294,0.12986093604096105,0.2489430439445355,0.3001001145507332,-0.1026567324833553,-0.21423714004023386,-0.26050420168067223,-0.03571428571428571
ACEN CORPORATION,"Sep 30, 2025",PHP,343115295.0,329542231.0,185060526.0,172099031.0,59132109.0,59132109.0,29670253.0,29670253.0,158054769.0,157443200.0,149256594.0,147545546.0,28681134.0,30320264.0,30262325.0,36870650.0,32200597.0,33562657.0,2909450.0,11339434.0,3407952.0,10984154.0,2817958.0,9994978.0,0.01,0.17,0.01,0.17,3.13,3.72,1.9929762311093202,1.9929762311093202,1.9929762311093202,1.9929762311093202,1.1708632847389755,1.0930864654681816,0.5393537644540154,0.5222366507556964,0.4606462355459846,0.4777633492443037,0.11261368715060723,0.2979105060529174,0.008212860344800427,0.03032988509445395,0.018879956486210586,0.06774164501041598,0.08819870591895357,0.11188444615464171,-0.17922995661861127,-0.6897392370864429,-0.9411764705882353,-0.1586021505376345
"AGRINURTURE, INC.","Jun 30, 2025",PHP,4937345454.0,4808478231.0,2361139935.0,1925275312.0,2613628728.0,2613628728.0,2312926643.0,1878542463.0,2576205519.0,2883202920.0,2527720291.0,2832162888.0,0.0,0.0,55335413.0,1559711206.0,120510802.0,1639001271.0,-110558524.0,-85575859.0,-110558524.0,-85575859.0,-108003220.0,-81837524.0,0.0,0.0,0.1,0.0,3.09,3.46,1.1300093480742528,1.3913067069168508,1.1300093480742528,1.3913067069168508,0.9165184677954259,0.6677557443650203,0.4782205249760512,0.4003918120264856,0.5217794750239487,0.5996081881814804,-1.9979705220597161,-0.05486647699317741,-0.021874754563203792,-0.0170194227921004,-0.04272752028163388,-0.028895768794495975,0.011207523053743364,0.3243669059255849,-0.964522013570761,0.29193589514538204,0.0,-0.10693641618497113
"ALLIANCE GLOBAL GROUP, INC.","Jun 30, 2025",PHP,805411054170.0,824078916434.0,377072432663.0,408353651893.0,394425399575.0,394425399575.0,150121063045.0,150121063045.0,428338621507.0,415725264541.0,309077308865.0,294373193126.0,220242291249.0,206194025879.0,136267098792.0,158608150621.0,104395956341.0,125849512454.0,32823285171.0,25831647441.0,27475163769.0,21042183585.0,19664226079.0,13353465212.0,1.62,1.0,1.62,1.0,35.06,33.06,2.6273821379533384,2.6273821379533384,2.6273821379533384,2.6273821379533384,0.8803138772225745,0.982268066733594,0.4681738979254318,0.49552736242792206,0.5318261020745682,0.5044726375720779,0.2016272747608612,0.1326677317818368,0.024415143021925084,0.016204109759031155,0.06362235439156427,0.045362368326399685,0.16918950650910458,0.19246718664680562,-0.14085689632927353,0.30571828052036265,0.6200000000000001,0.060496067755595885
"ALLIANCE SELECT FOODS INTERNATIONAL, INC.","Jun 30, 2025",PHP,63164952.0,50558407.0,49472042.0,36947759.0,47979044.0,35617095.0,46843173.0,34323451.0,13692910.0,13610648.0,13629757.0,13547361.0,0.0,0.0,51491934.0,57859674.0,51591496.0,56708074.0,121447.0,826731.0,57136.0,647536.0,57830.0,647985.0,0.0,0.0,0.0,0.0,0.01,0.01,1.0242483787338659,1.0376897998980348,1.0242483787338659,1.0376897998980348,3.612967732936242,2.7146215962678633,0.7832198146845738,0.7307935750428213,0.2167801853154262,0.2692064249571787,0.001109610681937097,0.011191490639923066,0.0009155393642981,0.012816562831973721,0.004242922305951603,0.047831086807238694,0.8151978647905883,1.1444125207505054,-0.11005488900611504,-0.9117639791455611,0.0,0.0
"ALSONS CONSOLIDATED RESOURCES, INC.","Jun 30, 2025",PHP,51758474333.0,50199938892.0,33446840911.0,28985205743.0,13498640936.0,11976591506.0,20502731582.0,14892053144.0,18311633422.0,21214733149.0,14621251683.0,14351429478.0,5108447564.0,4721483277.0,8567778123.0,9154113502.0,6236298468.0,7262836330.0,2331479655.0,1891277172.0,2099449429.0,1649532403.0,897798422.0,573590035.0,0.08,0.06,0.08,0.06,2.32,2.28,0.6583825614656579,0.8042270189470391,0.6583825614656579,0.8042270189470391,1.826535085112409,1.366277178196148,0.6462099461396812,0.5773952395710816,0.3537900538603188,0.4226047604289183,0.2450401257899148,0.18019575599970533,0.017345921292498078,0.01142611022364031,0.0614036637536212,0.039967449645297276,0.16553382288429208,0.18235308058231173,-0.06405157406797467,0.27275428186905404,0.3333333333333334,0.017543859649122823
ALTERNERGY HOLDINGS CORPORATION,"Mar 31, 2025",PHP,13668454278.0,8744764879.0,9409082544.0,4448140175.0,4909114370.0,3716177145.0,1638257336.0,745415844.0,4259371734.0,4296624704.0,3616010157.0,3554742862.0,137970896.0,67183056.0,340289264.0,264805065.0,312680499.0,174589137.0,130709662.0,200050261.0,129570383.0,195187490.0,122933257.0,92562056.0,0.03,0.02,0.03,0.02,0.92,0.9,2.9965465510969027,4.985374505938191,2.9965465510969027,4.985374505938191,2.2090306109919826,1.0352638364851705,0.6883794138408428,0.5086632101089336,0.3116205861591572,0.49133678989106644,0.3807654155083776,0.7370987786808383,0.008993939951049672,0.010584853598783648,0.033996933543458514,0.026039029992712875,0.02489595802706902,0.030281553439579906,0.28505572202706925,-0.33617475689656134,0.4999999999999999,0.02222222222222224
ANGLO PHILIPPINE HOLDINGS CORPORATION,"Jun 30, 2025",PHP,11258597094.0,11473197604.0,3658011716.0,3660917582.0,760992490.0,760992490.0,245694205.0,245694205.0,7600585378.0,7812280022.0,5600450548.0,5810524742.0,1664612994.0,1876307639.0,6797216.0,6589620.0,31692650.0,32759401.0,-293602642.0,1015081979.0,-293602642.0,1015081979.0,-293602642.0,1015081979.0,0.0,0.2,0.0,0.2,2.53,2.6,3.0973155838168833,3.0973155838168833,3.0973155838168833,3.0973155838168833,0.4812802612004288,0.4686106452521627,0.3249083065553034,0.319084331008442,0.6750916934446966,0.680915668991558,-43.19454347191556,154.0425667944434,-0.026078084111959964,0.08847419996027116,-0.052424825374960175,0.17469712703617293,0.0006037356113953499,0.0005743490374211461,0.03150348578521978,-1.2892403254850808,-1.0,-0.026923076923077032
