Name,Type,Region,Province,City_Muni,Lat,Lon
Abacan River,river,Region III (Central Luzon),Pampanga,Angeles City,15.171535,120.514
Abacan River,river,Region III (Central Luzon),Pampanga,Mexico,15.049448,120.732093
Abacan River,river,Region III (Central Luzon),Pampanga,Minalin,14.988568,120.729376
Abacan River,river,Region III (Central Luzon),Pampanga,San Simon,15.01766,120.732442
Abacan River,river,Region III (Central Luzon),Pampanga,Sto. Tomas,15.010202,120.729119
Abalos River,river,Region I (Ilocos Region),Pangasinan,Umingan,15.95188,120.850508
Abango Creek,stream,Region VIII (Eastern Visayas),Leyte,Barugo,11.260608,124.735712
Abango Creek,stream,Region VIII (Eastern Visayas),Leyte,Carigara,11.233901,124.738436
Abatan River,river,Region VII (Central Visayas),Bohol,Antequera,9.726769,123.881438
Abatan River,river,Region VII (Central Visayas),Bohol,Balilihan,9.756864,123.935986
Abatan River,river,Region VII (Central Visayas),Bohol,Catigbian,9.880703,123.991058
Abatan River,river,Region VII (Central Visayas),Bohol,Cortes,9.726769,123.881438
Abatan River,river,Region VII (Central Visayas),Bohol,Maribojoc,9.726769,123.881438
Abatan River,river,Region VII (Central Visayas),Bohol,San Isidro,9.8446,123.978968
Abatan River,river,Region VII (Central Visayas),Bohol,Tubigon,9.89242,124.006057
Abeto River,river,Region VII (Central Visayas),Negros Oriental,City of Bayawan (Tulong),9.542864,122.83309
Abeto River,stream,Region VII (Central Visayas),Negros Oriental,City of Bayawan (Tulong),9.556559,122.860357
Abijao River,river,Region VIII (Eastern Visayas),Leyte,Villaba,11.154535,124.407126
Abo-Abo River,river,Mimaropa Region,Palawan,Narra,9.157864,118.115801
Abo-Abo River,river,Mimaropa Region,Palawan,Sofronio Española,9.157864,118.115801
Aborlan River,river,Mimaropa Region,Palawan,Aborlan,9.471471,118.481286
Above Bulusukan Falls,stream,Mimaropa Region,Marinduque,Buenavista,13.300029,121.953975
Abra De Ilog River,river,Mimaropa Region,Occidental Mindoro,Abra de Ilog,13.447087,120.745917
Abra River,river,Cordillera Administrative Region (CAR),Abra,Bangued (Capital),17.617432,120.64232
Abra River,river,Cordillera Administrative Region (CAR),Abra,Bantay,17.549743,120.502519
Abra River,river,Cordillera Administrative Region (CAR),Abra,Dolores,17.617432,120.64232
Abra River,river,Cordillera Administrative Region (CAR),Abra,Lagangilang,17.617432,120.64232
Abra River,river,Cordillera Administrative Region (CAR),Abra,Langiden,17.549743,120.502519
Abra River,river,Cordillera Administrative Region (CAR),Abra,Pidigan,17.549743,120.502519
Abra River,river,Cordillera Administrative Region (CAR),Abra,San Quintin,17.549743,120.502519
Abra River,river,Cordillera Administrative Region (CAR),Abra,Santa,17.549743,120.502519
Abra River,river,Cordillera Administrative Region (CAR),Abra,Tayum,17.617432,120.64232
Abra River,river,Region I (Ilocos Region),Ilocos Sur,Bantay,17.549743,120.502519
Abra River,river,Region I (Ilocos Region),Ilocos Sur,Langiden,17.549743,120.502519
Abra River,river,Region I (Ilocos Region),Ilocos Sur,Pidigan,17.549743,120.502519
Abra River,river,Region I (Ilocos Region),Ilocos Sur,San Quintin,17.549743,120.502519
Abra River,river,Region I (Ilocos Region),Ilocos Sur,Santa,17.549743,120.502519
Abuan River,river,Region II (Cagayan Valley),Isabela,Ilagan City (Capital),17.17134,122.189834
Abuan River,river,Region II (Cagayan Valley),Isabela,Maconacon,17.293047,122.163108
Abucay Creek,stream,Region XI (Davao Region),Davao del Norte,Carmen,7.364646,125.731023
Abuhan Creek,river,Region X (Northern Mindanao),Bukidnon,City of Malaybalay (Capital),8.041486,125.187321
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Abulug,18.32705,121.417465
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Flora,18.210111,121.397563
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Luna,18.249129,121.407177
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Pudtol,18.210111,121.397563
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Santa Marcela,18.249129,121.407177
Abulug River,river,Region II (Cagayan Valley),Cagayan,Abulug,18.32705,121.417465
Abulug River,river,Region II (Cagayan Valley),Cagayan,Flora,18.266374,121.409601
Abulug River,river,Region II (Cagayan Valley),Cagayan,Luna,18.266374,121.409601
Abulug River,river,Region II (Cagayan Valley),Cagayan,Pudtol,18.266374,121.409601
Abulug River,river,Region II (Cagayan Valley),Cagayan,Santa Marcela,18.32705,121.417465
Abuno River,river,Region VII (Central Visayas),Cebu,City of Naga,10.261459,123.760987
Abuno River,river,Region VII (Central Visayas),Cebu,Minglanilla,10.240842,123.783721
Acacia Creek,stream,National Capital Region (NCR),Metropolitan Manila Third District,City of Malabon,14.674364,120.966392
Acliban Creek,stream,Region XI (Davao Region),Davao del Sur,Davao City,7.086569,125.507794
Addalam River,river,Region II (Cagayan Valley),Nueva Vizcaya,Kasibu,16.280454,121.368962
Adela River,river,Region VII (Central Visayas),Cebu,Tuburan,10.72563,123.831668
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,La Paz,8.277152,125.808343
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,San Luis,8.285507,125.406688
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,Talacogon,8.32931,125.578939
Adtolawon River,river,Region XIII (Caraga),Agusan del Sur,Impasug-ong,8.459224,125.233916
Adtolawon River,river,Region XIII (Caraga),Agusan del Sur,San Luis,8.459224,125.233916
Adtolawon River,river,Region X (Northern Mindanao),Bukidnon,Impasug-ong,8.459224,125.233916
Adtolawon River,river,Region X (Northern Mindanao),Bukidnon,San Luis,8.459224,125.233916
Afga Creek,stream,Region XIII (Caraga),Agusan del Sur,Esperanza,8.67487,125.451929
Aganan River,river,Region VI (Western Visayas),Iloilo,Alimodian,10.886783,122.311308
Aganan River,river,Region VI (Western Visayas),Iloilo,Leon,10.886783,122.311308
Aganan River,river,Region VI (Western Visayas),Iloilo,Pavia,10.780318,122.51205
Aganan River,river,Region VI (Western Visayas),Iloilo,San Miguel,10.780318,122.51205
Aganan River,river,Region VI (Western Visayas),Iloilo,Santa Barbara,10.780318,122.51205
Agawa River,river,Cordillera Administrative Region (CAR),Mountain Province,Besao,17.110193,120.85107
Agawa River,stream,Cordillera Administrative Region (CAR),Mountain Province,Besao,17.147244,120.866494
Agbakong River,river,Mimaropa Region,Occidental Mindoro,Paluan,13.50624,120.398622
