river_name,waterway,region_name,province,city_muni,selection_reason,award_company,award_project,award_stage,award_potential_mw,award_installed_mw,award_count,award_potential_mw_total,award_installed_mw_total,Power_MW,HPI,Status,Usable,Catchment,Catchment_km2,Relief_m,Runoff_mm_per_yr,Flow_m3s,HPI
Abeto River,river,Region VII (Central Visayas),Negros Oriental,City of Bayawan (Tulong),high_potential,,,,,,0,,,0.0002,60.0,Good,True,Bayawan,425.1,682.0,2951.0,0.0,60.0
Abo-abo River,river,Mimaropa Region,Palawan,Narra,awarded,Langogan Power Corporation,Batang-Batang Hydroelectric Power Project,Development,9.0,,2,12.0,,,30.0,Poor,False,,,,2580.0,,30.0
Abuan River,river,Region II (Cagayan Valley),Isabela,Ilagan City (Capital),awarded,Greenmountain Power Corporation,Abuan 2 Hydroelectric Power Project,Pre-Development,7.8,,7,54.599999999999994,,0.1886,61.2,Good,True,Cagayan,27684.1,2871.0,10170.0,0.0089,61.2
Abuan River,river,Region II (Cagayan Valley),Isabela,Maconacon,high_potential,,,,,,0,,,0.1886,61.2,Good,True,Cagayan,27684.1,2871.0,10170.0,0.0089,61.2
Abucay Creek,stream,Region XI (Davao Region),Davao del Norte,Carmen,high_potential,,,,,,0,,,4.2245,89.1,Excellent,True,Tagum,3167.9,1528.0,3740060.0,0.3757,89.1
Abuhan Creek,river,Region X (Northern Mindanao),Bukidnon,City of Malaybalay (Capital),high_potential,,,,,,0,,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Abulug,high_potential,,,,,,0,,,0.0174,60.1,Good,True,Abulug,2815.7,2357.0,11230.0,0.001,60.1
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Flora,high_potential,,,,,,0,,,0.0174,60.1,Good,True,Abulug,2815.7,2357.0,11230.0,0.001,60.1
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Luna,high_potential,,,,,,0,,,0.0174,60.1,Good,True,Abulug,2815.7,2357.0,11230.0,0.001,60.1
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Pudtol,high_potential,,,,,,0,,,0.0174,60.1,Good,True,Abulug,2815.7,2357.0,11230.0,0.001,60.1
Abulug River,river,Cordillera Administrative Region (CAR),Apayao,Santa Marcela,high_potential,,,,,,0,,,0.0174,60.1,Good,True,Abulug,2815.7,2357.0,11230.0,0.001,60.1
Abulug River,river,Region II (Cagayan Valley),Cagayan,Abulug,high_potential,,,,,,0,,,0.0137,60.1,Good,True,Abulug,2815.7,2357.0,8860.0,0.0008,60.1
Abulug River,river,Region II (Cagayan Valley),Cagayan,Flora,high_potential,,,,,,0,,,0.0137,60.1,Good,True,Abulug,2815.7,2357.0,8860.0,0.0008,60.1
Abulug River,river,Region II (Cagayan Valley),Cagayan,Luna,high_potential,,,,,,0,,,0.0137,60.1,Good,True,Abulug,2815.7,2357.0,8860.0,0.0008,60.1
Abulug River,river,Region II (Cagayan Valley),Cagayan,Pudtol,high_potential,,,,,,0,,,0.0137,60.1,Good,True,Abulug,2815.7,2357.0,8860.0,0.0008,60.1
Abulug River,river,Region II (Cagayan Valley),Cagayan,Santa Marcela,high_potential,,,,,,0,,,0.0137,60.1,Good,True,Abulug,2815.7,2357.0,8860.0,0.0008,60.1
Acliban Creek,stream,Region XI (Davao Region),Davao del Sur,Davao City,awarded,"Hedcor, Inc.",Talomo 1 Hydroelectric Power Plant,Commercial Operation,,1.0,18,,18.0,,30.0,Poor,False,,,,5330.0,,30.0
Addalam River,river,Region II (Cagayan Valley),Nueva Vizcaya,Kasibu,high_potential,,,,,,0,,,0.1775,61.1,Good,True,Cagayan,27684.1,2871.0,9570.0,0.0084,61.1
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,La Paz,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,San Luis,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Adgawan River,river,Region XIII (Caraga),Agusan del Sur,Talacogon,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Adtolawon River,river,Region XIII (Caraga),Agusan del Sur,Impasug-ong,high_potential,,,,,,0,,,0.1489,61.0,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,11700.0,0.0069,61.0
Adtolawon River,river,Region XIII (Caraga),Agusan del Sur,San Luis,high_potential,,,,,,0,,,0.1489,61.0,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,11700.0,0.0069,61.0
Adtolawon River,river,Region X (Northern Mindanao),Bukidnon,Impasug-ong,high_potential,,,,,,0,,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Adtolawon River,river,Region X (Northern Mindanao),Bukidnon,San Luis,high_potential,,,,,,0,,,0.1124,60.7,Good,True,Rio_Grande_de_Mindanao,18512.8,2946.0,8830.0,0.0052,60.7
Afga Creek,stream,Region XIII (Caraga),Agusan del Sur,Esperanza,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Aganan River,river,Region VI (Western Visayas),Iloilo,Alimodian,high_potential,,,,,,0,,,0.0009,60.0,Good,True,Tigum,411.7,1594.0,6100.0,0.0001,60.0
Aganan River,river,Region VI (Western Visayas),Iloilo,Leon,high_potential,,,,,,0,,,0.0009,60.0,Good,True,Tigum,411.7,1594.0,6100.0,0.0001,60.0
Aganan River,river,Region VI (Western Visayas),Iloilo,Pavia,high_potential,,,,,,0,,,0.0009,60.0,Good,True,Tigum,411.7,1594.0,6100.0,0.0001,60.0
Aganan River,river,Region VI (Western Visayas),Iloilo,San Miguel,high_potential,,,,,,0,,,0.0009,60.0,Good,True,Tigum,411.7,1594.0,6100.0,0.0001,60.0
Aganan River,river,Region VI (Western Visayas),Iloilo,Santa Barbara,high_potential,,,,,,0,,,0.0009,60.0,Good,True,Tigum,411.7,1594.0,6100.0,0.0001,60.0
Agawa River,river,Cordillera Administrative Region (CAR),Mountain Province,Besao,high_potential,,,,,,0,,,0.0284,60.2,Good,True,Abra,4893.4,2578.0,9640.0,0.0015,60.2
Agdao Creek,stream,Region XI (Davao Region),Davao del Sur,Davao City,awarded,"Hedcor, Inc.",Talomo 1 Hydroelectric Power Plant,Commercial Operation,,1.0,3,,3.0,,30.0,Poor,False,,,,5330.0,,30.0
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Itogon,awarded,San Roque Hydropower Inc.,San Roque Upper East Pumped Storage Hydroelectric Power Project,Development,600.0,,7,4200.0,,0.0078,59.6,Moderate,False,Agno,5804.2,2924.0,1970.0,0.0004,59.6
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Kabayan,awarded,"Hedcor Kabayan, Inc.",Kabayan 2 (formerly Natalang B) Hydroelectric Power Project,Development,52.0,,1,52.0,,0.0078,59.6,Moderate,False,Agno,5804.2,2924.0,1970.0,0.0004,59.6
Agno River,river,Cordillera Administrative Region (CAR),Ifugao,Buguias,high_potential,,,,,,0,,,0.0746,60.5,Good,True,Agno,5804.2,2924.0,18840.0,0.0035,60.5
Agno River,river,Cordillera Administrative Region (CAR),Ifugao,Hungduan,high_potential,,,,,,0,,,0.0746,60.5,Good,True,Agno,5804.2,2924.0,18840.0,0.0035,60.5
Agno River,river,Cordillera Administrative Region (CAR),Mountain Province,Bauko,high_potential,,,,,,0,,,0.0382,60.2,Good,True,Agno,5804.2,2924.0,9640.0,0.0018,60.2
Agno River,river,Cordillera Administrative Region (CAR),Mountain Province,Buguias,high_potential,,,,,,0,,,0.0382,60.2,Good,True,Agno,5804.2,2924.0,9640.0,0.0018,60.2
Agno River,river,Region I (Ilocos Region),Pangasinan,San Manuel,awarded,C Squared Prime Commodities Corporation,ARIIS 2 (NIA Stn 5+437.50) Hydroelectric Power Project,Development,0.75,,9,6.75,,0.0032,42.0,Moderate,False,Agno,5804.2,2924.0,800.0,0.0001,42.0
Agos River,river,Region IV-A (Calabarzon),Quezon,General Nakar,high_potential,,,,,,0,,,0.0017,60.0,Good,True,Infanta,935.4,1528.0,5130.0,0.0002,60.0
Agos River,river,Region IV-A (Calabarzon),Quezon,Infanta,high_potential,,,,,,0,,,0.0017,60.0,Good,True,Infanta,935.4,1528.0,5130.0,0.0002,60.0
Agsabu River,river,Region XIII (Caraga),Agusan del Sur,Esperanza,high_potential,,,,,,0,,,0.0839,60.5,Good,True,Agusan,11528.6,2665.0,11700.0,0.0043,60.5
Aguang River,river,Region III (Central Luzon),Aurora,Maria Aurora,high_potential,,,,,,0,,,0.0019,60.0,Good,True,Diteki,432.3,1894.0,9940.0,0.0001,60.0
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Baloi,high_potential,,,,,,0,,,0.0148,60.1,Good,True,Agus,1894.1,2789.0,12050.0,0.0007,60.1
Agus River,river,Region X (Northern Mindanao),Lanao del Norte,Iligan City,awarded,"Euro Hydro Power (Asia) Holdings, Inc.",Bayug Hydroelectric Power Project,Development,17.81,,5,89.05,,0.0148,60.1,Good,True,Agus,1894.1,2789.0,12050.0,0.0007,60.1
